pair,strategy,accuracy,transactions,totol,annual,sharp
300159&600820,garch+model,0.5040983606557377,"[(0.056801424113437207, '2016-04-27', '2016-12-22', 'l'), (-0.0052154835636825624, '2016-12-27', '2016-12-30', 'l')]",0.051289693655897306,0.07735842224959717,0.8610399648593001
002462&300011,history+,0.49101796407185627,"[(0.1138365213294936, '2016-01-28', '2016-05-20', 'l'), (-0.1264155324885281, '2016-07-07', '2016-09-27', 'l')]",-0.026969715619544088,-0.050481775390428675,-0.10820541441802474
002462&300011,garch+,0.49101796407185627,"[(0.076974033743898926, '2016-01-28', '2016-05-16', 'l'), (0.00993869773685019, '2016-06-02', '2016-06-03', 'l'), (-0.17832172235752383, '2016-06-16', '2016-09-27', 'l')]",-0.10627881717340648,-0.18212097778541486,-0.35573748536369687
002462&300011,history+model,0.49101796407185627,"[(0.1138365213294936, '2016-01-28', '2016-05-20', 'l'), (-0.1264155324885281, '2016-07-07', '2016-09-27', 'l')]",-0.026969715619544088,-0.050481775390428675,-0.10820541441802474
002462&300011,garch+model,0.49101796407185627,"[(0.076974033743898926, '2016-01-28', '2016-05-16', 'l'), (0.00993869773685019, '2016-06-02', '2016-06-03', 'l'), (-0.17832172235752383, '2016-06-16', '2016-09-27', 'l')]",-0.10627881717340648,-0.18212097778541486,-0.35573748536369687
300033&601567,history+,0.4897119341563786,"[(0.041768682405014045, '2016-01-05', '2016-01-07', 'l'), (0.044064483570079784, '2016-01-11', '2016-02-22', 'l'), (0.090312435415137352, '2016-03-02', '2016-03-21', 'l'), (0.045577482808457435, '2016-03-23', '2016-04-07', 'l'), (0.035111791423715628, '2016-05-03', '2016-05-13', 'l'), (0.038256004673607749, '2016-05-31', '2016-07-07', 'l'), (-0.037947490039414285, '2016-10-28', '2016-12-30', 'l')]",0.28202440191719513,0.5475473760626395,0.5081171846091556
300033&601567,garch+,0.4897119341563786,"[(0.031310476505871362, '2016-01-11', '2016-01-13', 'l'), (0.044787225737095253, '2016-01-19', '2016-02-22', 'l'), (0.0073838738913293732, '2016-02-29', '2016-03-18', 'l'), (0.045577482808457435, '2016-03-23', '2016-04-07', 'l'), (0.0089537762566790184, '2016-04-25', '2016-04-26', 'l'), (0.02171571819357138, '2016-04-28', '2016-05-13', 'l'), (0.014044409316066913, '2016-05-26', '2016-06-24', 'l'), (0.04792102450187824, '2016-07-04', '2016-07-07', 'l'), (0.028082173448369559, '2016-07-18', '2016-07-27', 'l'), (0.011859386975956373, '2016-08-10', '2016-08-11', 'l'), (0.014280301551897013, '2016-08-15', '2016-08-17', 'l'), (0.01112453748455941, '2016-08-29', '2016-08-31', 'l'), (0.004396563896073442, '2016-09-02', '2016-09-21', 'l'), (0.019747177396003141, '2016-09-23', '2016-09-27', 'l'), (-0.083648327665592173, '2016-10-10', '2016-12-30', 'l')]",0.24487548572444995,0.3803385203805286,0.3284288006738056
300033&601567,history+model,0.4897119341563786,"[(0.041768682405014045, '2016-01-05', '2016-01-07', 'l'), (0.044064483570079784, '2016-01-11', '2016-02-22', 'l'), (0.090312435415137352, '2016-03-02', '2016-03-21', 'l'), (0.045577482808457435, '2016-03-23', '2016-04-07', 'l'), (0.035111791423715628, '2016-05-03', '2016-05-13', 'l'), (0.038256004673607749, '2016-05-31', '2016-07-07', 'l'), (-0.037947490039414285, '2016-10-28', '2016-12-30', 'l')]",0.28202440191719513,0.5475473760626395,0.5081171846091556
300033&601567,garch+model,0.4897119341563786,"[(0.031310476505871362, '2016-01-11', '2016-01-13', 'l'), (0.044787225737095253, '2016-01-19', '2016-02-22', 'l'), (0.0073838738913293732, '2016-02-29', '2016-03-18', 'l'), (0.045577482808457435, '2016-03-23', '2016-04-07', 'l'), (0.0089537762566790184, '2016-04-25', '2016-04-26', 'l'), (0.02171571819357138, '2016-04-28', '2016-05-13', 'l'), (0.014044409316066913, '2016-05-26', '2016-06-24', 'l'), (0.04792102450187824, '2016-07-04', '2016-07-07', 'l'), (0.028082173448369559, '2016-07-18', '2016-07-27', 'l'), (0.011859386975956373, '2016-08-10', '2016-08-11', 'l'), (0.014280301551897013, '2016-08-15', '2016-08-17', 'l'), (0.01112453748455941, '2016-08-29', '2016-08-31', 'l'), (0.004396563896073442, '2016-09-02', '2016-09-21', 'l'), (0.019747177396003141, '2016-09-23', '2016-09-27', 'l'), (-0.083648327665592173, '2016-10-10', '2016-12-30', 'l')]",0.24487548572444995,0.3803385203805286,0.3284288006738056
300059&600446,history+,0.5113122171945701,"[(0.10963744712397357, '2016-01-25', '2016-01-28', 'l'), (0.073533963451109213, '2016-03-01', '2016-03-22', 'l')]",0.19123348660477002,2.9083426087808775,0.698732488045489
